ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= 8.79067901992308;	 p_value= 1.6053715899921308e-18;
ART_AND_DESIGN VS BEAUTY:	 statistic= 23.041062570566712;	 p_value= 2.033692772423353e-115;
ART_AND_DESIGN VS BOOKS_AND_REFERENCE:	 statistic= 26.301705635670512;	 p_value= 6.131949073397453e-148;
ART_AND_DESIGN VS BUSINESS:	 statistic= 29.446289293639154;	 p_value= 7.756557494609905e-184;
ART_AND_DESIGN VS COMICS:	 statistic= -31.061210169112876;	 p_value= 5.57609119444914e-207;
ART_AND_DESIGN VS COMMUNICATION:	 statistic= 28.186583125849953;	 p_value= 1.3010649296297707e-168;
ART_AND_DESIGN VS DATING:	 statistic= 33.874891573554876;	 p_value= 5.726918029607641e-242;
ART_AND_DESIGN VS EDUCATION:	 statistic= 7.891650142349822;	 p_value= 3.2085415044171864e-15;
ART_AND_DESIGN VS ENTERTAINMENT:	 statistic= 19.113520567415545;	 p_value= 2.0514654087418444e-80;
ART_AND_DESIGN VS EVENTS:	 statistic= 24.19085590432567;	 p_value= 5.300744882607679e-127;
ART_AND_DESIGN VS FINANCE:	 statistic= 21.36923299626485;	 p_value= 1.6055607177731595e-99;
ART_AND_DESIGN VS FOOD_AND_DRINK:	 statistic= 49.81423495044416;	 p_value= 0.0;
ART_AND_DESIGN VS HEALTH_AND_FITNESS:	 statistic= 5.2460489416179215;	 p_value= 1.5869751709068513e-07;
ART_AND_DESIGN VS HOUSE_AND_HOME:	 statistic= 39.8240581149513;	 p_value= 0.0;
ART_AND_DESIGN VS LIBRARIES_AND_DEMO:	 statistic= 27.655540020143107;	 p_value= 5.4302894503446275e-164;
ART_AND_DESIGN VS LIFESTYLE:	 statistic= 25.86081554823872;	 p_value= 1.7900362739268537e-144;
ART_AND_DESIGN VS MAPS_AND_NAVIGATION:	 statistic= 19.297387687146717;	 p_value= 4.054647844186999e-82;
ART_AND_DESIGN VS MEDICAL:	 statistic= 46.45902264837181;	 p_value= 0.0;
ART_AND_DESIGN VS MUSIC_AND_AUDIO:	 statistic= 4.646522529892309;	 p_value= 3.4141041821224795e-06;
ART_AND_DESIGN VS NEWS_AND_MAGAZINES:	 statistic= 21.645319864661936;	 p_value= 4.3857462498778915e-102;
ART_AND_DESIGN VS PARENTING:	 statistic= 14.199409688707988;	 p_value= 1.53478396049785e-45;
ART_AND_DESIGN VS PERSONALIZATION:	 statistic= 10.28885369668571;	 p_value= 9.576844989323374e-25;
ART_AND_DESIGN VS PHOTOGRAPHY:	 statistic= 26.389482486594435;	 p_value= 1.1838064412321559e-148;
ART_AND_DESIGN VS PRODUCTIVITY:	 statistic= 9.31628465157026;	 p_value= 1.430184518803928e-20;
ART_AND_DESIGN VS SHOPPING:	 statistic= 24.316046257440416;	 p_value= 3.2797999149982424e-127;
ART_AND_DESIGN VS SOCIAL:	 statistic= 32.36815837971782;	 p_value= 3.803923040644583e-220;
ART_AND_DESIGN VS SPORTS:	 statistic= 18.977622897447468;	 p_value= 1.9221084734760087e-79;
ART_AND_DESIGN VS TOOLS:	 statistic= 16.184733438814995;	 p_value= 2.3979707274599353e-58;
ART_AND_DESIGN VS TRAVEL_AND_LOCAL:	 statistic= 24.01397384260316;	 p_value= 3.060361135405903e-124;
ART_AND_DESIGN VS VIDEO_PLAYERS:	 statistic= 6.6912287233527605;	 p_value= 2.3323020442472828e-11;
ART_AND_DESIGN VS WEATHER:	 statistic= 13.420660884763205;	 p_value= 8.539416576493495e-41;
ART_AND_DESIGN VS GAME:	 statistic= 11.15356126761073;	 p_value= 7.267001795399202e-29;
AUTO_AND_VEHICLES VS BEAUTY:	 statistic= 15.455663551616666;	 p_value= 1.6014717665729933e-53;
AUTO_AND_VEHICLES VS BOOKS_AND_REFERENCE:	 statistic= 19.48837470202084;	 p_value= 1.9644674187687177e-83;
AUTO_AND_VEHICLES VS BUSINESS:	 statistic= 22.213439373352564;	 p_value= 1.873256915196541e-107;
AUTO_AND_VEHICLES VS COMICS:	 statistic= -40.36840219843111;	 p_value= 0.0;
AUTO_AND_VEHICLES VS COMMUNICATION:	 statistic= 21.474175358156486;	 p_value= 1.539453607669681e-100;
AUTO_AND_VEHICLES VS DATING:	 statistic= 26.319710187071127;	 p_value= 1.3489166997955737e-149;
AUTO_AND_VEHICLES VS ENTERTAINMENT:	 statistic= 11.753977390543952;	 p_value= 9.045121338190685e-32;
AUTO_AND_VEHICLES VS EVENTS:	 statistic= 16.357968710105325;	 p_value= 1.0127872822827596e-59;
AUTO_AND_VEHICLES VS FINANCE:	 statistic= 14.367516431080238;	 p_value= 1.7077688516641215e-46;
AUTO_AND_VEHICLES VS FOOD_AND_DRINK:	 statistic= 42.46483491758653;	 p_value= 0.0;
AUTO_AND_VEHICLES VS HOUSE_AND_HOME:	 statistic= 32.23725557491993;	 p_value= 4.074229196687145e-222;
AUTO_AND_VEHICLES VS LIBRARIES_AND_DEMO:	 statistic= 20.213311805588614;	 p_value= 9.190657175989276e-90;
AUTO_AND_VEHICLES VS LIFESTYLE:	 statistic= 18.169938616589317;	 p_value= 3.960079223937101e-73;
AUTO_AND_VEHICLES VS MAPS_AND_NAVIGATION:	 statistic= 11.245631272883976;	 p_value= 2.9859195716785326e-29;
AUTO_AND_VEHICLES VS MEDICAL:	 statistic= 39.11782349504329;	 p_value= 0.0;
AUTO_AND_VEHICLES VS NEWS_AND_MAGAZINES:	 statistic= 14.405079287846197;	 p_value= 9.759085929686824e-47;
AUTO_AND_VEHICLES VS PARENTING:	 statistic= 5.347302769583823;	 p_value= 9.014825973808633e-08;
AUTO_AND_VEHICLES VS PERSONALIZATION:	 statistic= 2.70280832933969;	 p_value= 0.006882388340361685;
AUTO_AND_VEHICLES VS PHOTOGRAPHY:	 statistic= 19.912806156939162;	 p_value= 6.432408809019357e-87;
