ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= -22.979285707231192;	 p_value= 2.391195303312757e-115;
ART_AND_DESIGN VS BEAUTY:	 statistic= 2.808233372629155;	 p_value= 0.004988013216408214;
ART_AND_DESIGN VS BOOKS_AND_REFERENCE:	 statistic= -16.946553419565788;	 p_value= 1.2921355994028836e-63;
ART_AND_DESIGN VS BUSINESS:	 statistic= -23.86854521118693;	 p_value= 5.955768937496783e-123;
ART_AND_DESIGN VS COMICS:	 statistic= -29.383079660409063;	 p_value= 7.0066783882691015e-186;
ART_AND_DESIGN VS DATING:	 statistic= -22.27600803685057;	 p_value= 4.425480648491424e-108;
ART_AND_DESIGN VS EDUCATION:	 statistic= -8.44608615857653;	 p_value= 3.3144425993615613e-17;
ART_AND_DESIGN VS ENTERTAINMENT:	 statistic= -9.653218833779937;	 p_value= 5.5766600442002275e-22;
ART_AND_DESIGN VS EVENTS:	 statistic= -28.3109765574395;	 p_value= 4.375771726911351e-172;
ART_AND_DESIGN VS FINANCE:	 statistic= -42.10412701028781;	 p_value= 0.0;
ART_AND_DESIGN VS FOOD_AND_DRINK:	 statistic= -38.190382655053675;	 p_value= 8.705138071063498e-307;
ART_AND_DESIGN VS HEALTH_AND_FITNESS:	 statistic= -8.983989714162215;	 p_value= 3.1021446503805787e-19;
ART_AND_DESIGN VS HOUSE_AND_HOME:	 statistic= -30.726862314393436;	 p_value= 8.257523663396508e-202;
ART_AND_DESIGN VS LIBRARIES_AND_DEMO:	 statistic= -2.3587833588374427;	 p_value= 0.018348508360235858;
ART_AND_DESIGN VS LIFESTYLE:	 statistic= -24.808273941741945;	 p_value= 2.512769682782062e-133;
ART_AND_DESIGN VS MAPS_AND_NAVIGATION:	 statistic= -17.596619542125666;	 p_value= 1.026269004906292e-68;
ART_AND_DESIGN VS MEDICAL:	 statistic= -39.063437805776125;	 p_value= 0.0;
ART_AND_DESIGN VS NEWS_AND_MAGAZINES:	 statistic= -13.484770333394057;	 p_value= 3.65614070474353e-41;
ART_AND_DESIGN VS PARENTING:	 statistic= -35.6970779300029;	 p_value= 1.1970873000274926e-270;
ART_AND_DESIGN VS PERSONALIZATION:	 statistic= 9.512106241024771;	 p_value= 2.1494112663729174e-21;
ART_AND_DESIGN VS PHOTOGRAPHY:	 statistic= -3.441575633524094;	 p_value= 0.0005805886102274385;
ART_AND_DESIGN VS PRODUCTIVITY:	 statistic= -5.814096690939349;	 p_value= 6.263023546858994e-09;
ART_AND_DESIGN VS SHOPPING:	 statistic= -16.4484988762086;	 p_value= 4.58584008476512e-60;
ART_AND_DESIGN VS SOCIAL:	 statistic= -12.443586489767263;	 p_value= 2.543099802840035e-35;
ART_AND_DESIGN VS SPORTS:	 statistic= -21.33338519320993;	 p_value= 1.326612875908921e-99;
ART_AND_DESIGN VS TOOLS:	 statistic= -8.408349078416942;	 p_value= 4.588221495798194e-17;
ART_AND_DESIGN VS TRAVEL_AND_LOCAL:	 statistic= -23.57820413256636;	 p_value= 5.970006400578112e-120;
ART_AND_DESIGN VS VIDEO_PLAYERS:	 statistic= 2.0447147609312317;	 p_value= 0.04090926889273116;
ART_AND_DESIGN VS WEATHER:	 statistic= -11.781999576639919;	 p_value= 7.015061197906697e-32;
